slug,university,programme,field,source_url,verified_at
taylors-bachelor-business,taylors,Bachelor of Business (Honours),Business Administration,https://university.taylors.edu.my/en/study/explore-all-programmes/business.html,2026-09-22
taylors-bachelor-international-business-marketing,taylors,Bachelor of Business (Honours) in International Business and Marketing,International Business,https://university.taylors.edu.my/en/study/explore-all-programmes/business.html,2026-09-22
taylors-bachelor-accounting-finance,taylors,Bachelor of Accounting (Finance) (Honours),Accounting & Finance,https://university.taylors.edu.my/en/study/explore-all-programmes/business.html,2026-09-22
taylors-bachelor-banking-finance,taylors,Bachelor of Banking and Finance (Honours),Banking & Finance,https://university.taylors.edu.my/en/study/explore-all-programmes/business.html,2026-09-22
taylors-bachelor-finance-economics,taylors,Bachelor of Finance and Economics (Honours),Financial Economics,https://university.taylors.edu.my/en/study/explore-all-programmes/business.html,2026-09-22
taylors-bachelor-actuarial-studies,taylors,Bachelor of Actuarial Studies (Honours),Actuarial Studies,https://university.taylors.edu.my/en/study/explore-all-programmes/business.html,2026-09-22
taylors-bachelor-team-entrepreneurship,taylors,Bachelor of Entrepreneurship (Honours) in Team Entrepreneurship,Entrepreneurship,https://university.taylors.edu.my/en/study/explore-all-programmes/business.html,2026-09-22
taylors-bachelor-accounting-fintech,taylors,Bachelor of Accounting with Fintech (Honours),Accounting & Finance,https://university.taylors.edu.my/en/study/explore-all-programmes/business.html,2026-09-22
ucsi-ba-accounting,ucsi,Bachelor of Arts (Hons) Accounting,Accounting,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-ba-accounting-finance,ucsi,Bachelor of Arts (Hons) Accounting and Finance,Accounting & Finance,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-ba-branding-advertising,ucsi,Bachelor of Arts (Hons) in Branding and Advertising,Marketing,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-ba-business-administration,ucsi,Bachelor of Arts (Hons) in Business Administration,Business Administration,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-ba-entrepreneurship,ucsi,Bachelor of Arts (Hons) Entrepreneurship,Entrepreneurship,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-ba-logistics-management,ucsi,Bachelor of Arts (Hons) Logistics Management,Supply Chain & Logistics,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-ba-marketing,ucsi,Bachelor of Arts (Hons) in Marketing,Marketing,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-ba-supply-chain-operations,ucsi,Bachelor of Arts (Honours) Supply Chain Operations Management,Supply Chain & Logistics,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-bachelor-business-analytics,ucsi,Bachelor of Business Analytics (Honours),Business Analytics,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-bachelor-financial-economics,ucsi,Bachelor of Financial Economics (Hons),Financial Economics,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-bachelor-financial-technology,ucsi,Bachelor of Financial Technology (Honours),FinTech,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-bachelor-human-capital-management,ucsi,Bachelor in Human Capital Management (Honours),Human Resource Management,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-bachelor-international-sustainable-business,ucsi,Bachelor of International and Sustainable Business (Honours),International Business,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
ucsi-bsc-finance-investment,ucsi,Bachelor of Science (Honours) Finance and Investment,Finance,https://www.ucsiuniversity.edu.my/programmes/faculty-of-business-and-management,2026-09-22
mmu-cyberjaya-bachelor-accounting,mmu,Bachelor in Accounting (Honours),Accounting,https://www.mmu.edu.my/fom/programmes/bachelor-in-accounting/,2026-09-22
mmu-bachelor-analytical-economics,mmu,Bachelor in Analytical Economics (Honours),Economics,https://www.mmu.edu.my/fom/programmes/bachelor-in-analytical-economics/,2026-09-22
mmu-bachelor-finance,mmu,Bachelor in Finance (Honours),Finance,https://www.mmu.edu.my/fom/programmes/bachelor-in-finance/,2026-09-22
mmu-bachelor-business-management,mmu,Bachelor in Business Management (Honours),Business Administration,https://www.mmu.edu.my/fom/programmes/bachelor-in-business-management/,2026-09-22
mmu-bachelor-marketing,mmu,Bachelor in Marketing (Honours),Marketing,https://www.mmu.edu.my/fom/programmes/bachelor-in-marketing/,2026-09-22
mmu-bachelor-digital-enterprise-management,mmu,Bachelor in Digital Enterprise Management (Honours),Digital Business,https://www.mmu.edu.my/fom/programmes/bachelor-in-digital-enterprise-management/,2026-09-22
mmu-melaka-bachelor-accounting,mmu,Bachelor in Accounting (Honours),Accounting,https://www.mmu.edu.my/full-list-of-programmes-offered/,2026-09-22
mmu-bba-banking-finance,mmu,Bachelor in Business Administration (Honours) (Banking and Finance),Banking & Finance,https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fob/bachelor-of-business-administration-hons-banking-and-finance/,2026-09-22
mmu-bba-human-resource-management,mmu,Bachelor in Business Administration (Honours) (Human Resource Management),Human Resource Management,https://www.mmu.edu.my/full-list-of-programmes-offered/,2026-09-22
mmu-bba-international-business,mmu,Bachelor of Business Administration (Hons) (International Business),International Business,https://www.mmu.edu.my/full-list-of-programmes-offered/,2026-09-22
mmu-bba-marketing-management,mmu,Bachelor in Business Administration (Honours) (Marketing Management),Marketing,https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fob/bachelor-in-business-administration-hons-marketing-management/,2026-09-22
mmu-bba-digital-business-management,mmu,Bachelor of Business Administration (Hons) (Digital Business Management),Digital Business,https://www.mmu.edu.my/full-list-of-programmes-offered/,2026-09-22
sunway-bsc-accounting-finance,sunway,Bachelor of Science (Hons) in Accounting and Finance,Accounting & Finance,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bachelor-finance,sunway,Bachelor (Honours) in Finance,Finance,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bsc-financial-analysis,sunway,Bachelor of Science (Honours) Financial Analysis,Finance,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bsc-financial-economics,sunway,Bachelor of Science (Honours) Financial Economics,Financial Economics,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-ba-global-management,sunway,Bachelor of Arts (Honors) Global Management,Business Administration,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bachelor-business-analytics,sunway,Bachelor of Business Analytics (Honours),Business Analytics,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bsc-business-management,sunway,Bachelor of Science (Honours) in Business Management,Business Administration,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-ba-entrepreneurship,sunway,Bachelor of Arts (Honours) Entrepreneurship,Entrepreneurship,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bsc-global-supply-chain-management,sunway,Bachelor of Science (Honours) Global Supply Chain Management,Supply Chain & Logistics,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bsc-international-business,sunway,Bachelor of Science (Honours) in International Business,International Business,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bsc-business-studies,sunway,Bachelor of Science (Honours) in Business Studies,Business Administration,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
sunway-bsc-marketing,sunway,Bachelor of Science (Honours) Marketing,Marketing,https://www.sunwayuniversity.edu.my/sunway-business-school,2026-09-22
