programme_slug,university_slug,programme_name,field,fee_display,fee_amount,fee_currency,fee_period,source_url,verified_at
apu-bachelor-mechanical-engineering,apu,Bachelor of Mechanical Engineering with Honours,Mechanical Engineering,"RM137,200 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",137200,MYR,Total programme,https://www.apu.edu.my/course/bachelor-of-mechanical-engineering,2026-09-22
apu-bachelor-petroleum-engineering,apu,Bachelor of Petroleum Engineering with Honours,Petroleum Engineering,"RM137,200 total international programme fee (excludes deposits, miscellaneous fees and 6% SST)",137200,MYR,Total programme,https://apu.edu.my/course/bachelor-of-petroleum-engineering,2026-09-22
taylors-bcs,taylors,Bachelor of Computer Science (Honours),Computer Science,"USD 40,049 international fee (2026; applicable 6% service tax excluded)",40049,USD,Official 2026 listed programme fee,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html,2026-09-22
taylors-bachelor-software-engineering,taylors,Bachelor of Software Engineering (Honours),Software Engineering,"USD 40,049 international fee (2026; applicable 6% service tax excluded)",40049,USD,Official 2026 listed programme fee,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html,2026-09-22
taylors-bachelor-information-technology,taylors,Bachelor of Information Technology (Honours),Information Technology,"USD 40,049 international fee (2026; applicable 6% service tax excluded)",40049,USD,Official 2026 listed programme fee,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html,2026-09-22
taylors-bachelor-mechanical-engineering,taylors,Bachelor of Mechanical Engineering with Honours,Mechanical Engineering,"USD 53,930 international fee (2026; applicable 6% service tax excluded)",53930,USD,Official 2026 listed programme fee,https://university.taylors.edu.my/en/study/explore-all-programmes/engineering/undergraduate/bachelor-of-mechanical-engineering.html,2026-09-22
taylors-bachelor-electrical-electronic-engineering,taylors,Bachelor of Electrical and Electronic Engineering with Honours,Electrical & Electronic Engineering,"USD 53,930 international fee (2026; applicable 6% service tax excluded)",53930,USD,Official 2026 listed programme fee,https://university.taylors.edu.my/en/study/explore-all-programmes/engineering/undergraduate/bachelor-of-electrical-and-electronic-engineering.html,2026-09-22
taylors-bachelor-mechatronics-engineering,taylors,Bachelor of Mechatronics Engineering with Honours,Mechatronics Engineering,"USD 53,930 international fee (2026; applicable 6% service tax excluded)",53930,USD,Official 2026 listed programme fee,https://university.taylors.edu.my/en/study/explore-all-programmes/engineering/undergraduate/bachelor-of-mechatronics-engineering.html,2026-09-22
taylors-bachelor-chemical-engineering,taylors,Bachelor of Chemical Engineering (Honours),Chemical Engineering,"USD 53,930 international fee (2026; applicable 6% service tax excluded)",53930,USD,Official 2026 listed programme fee,https://university.taylors.edu.my/en/study/explore-all-programmes/engineering/undergraduate/bachelor-of-chemical-engineering.html,2026-09-22
ucsi-bachelor-computer-science,ucsi,Bachelor of Computer Science (Honours),Computer Science,"Approx. RM103,881 total international (without bridging)",103881,MYR,Approximate total programme (without bridging),https://www.ucsiuniversity.edu.my/node/210,2026-09-22
ucsi-bachelor-ai,ucsi,Bachelor of Computer Science in Artificial Intelligence with Honours,Artificial Intelligence,"Approx. RM125,993 total international (without bridging)",125993,MYR,Approximate total programme (without bridging),https://www.ucsiuniversity.edu.my/node/15609,2026-09-22
ucsi-bachelor-cybersecurity,ucsi,Bachelor of Computer Science in Cyber Security with Honours,Cybersecurity,"Approx. RM128,696 total international (without bridging)",128696,MYR,Approximate total programme (without bridging),https://www.ucsiuniversity.edu.my/node/15607,2026-09-22
ucsi-bachelor-data-science,ucsi,Bachelor of Computer Science in Data Science with Honours,Data Science,"Approx. RM100,669 total international (without bridging)",100669,MYR,Approximate total programme (without bridging),https://www.ucsiuniversity.edu.my/node/10803,2026-09-22
ucsi-bachelor-civil-engineering,ucsi,Bachelor of Civil Engineering with Honours,Civil Engineering,"Approx. RM137,229 total international (without bridging)",137229,MYR,Approximate total programme (without bridging),https://www.ucsiuniversity.edu.my/node/133,2026-09-22
ucsi-bachelor-mechanical-engineering,ucsi,Bachelor of Mechanical Engineering with Honours,Mechanical Engineering,"Approx. RM136,593 total international (without bridging)",136593,MYR,Approximate total programme (without bridging),https://www.ucsiuniversity.edu.my/node/131,2026-09-22
ucsi-bachelor-mechatronic-engineering,ucsi,Bachelor of Mechatronic Engineering with Honours,Mechatronics Engineering,"Approx. RM136,646 total international (without bridging; programme page)",136646,MYR,Approximate total programme (without bridging),https://www.ucsiuniversity.edu.my/node/132,2026-09-22
ucsi-bachelor-electrical-electronic-engineering,ucsi,Bachelor of Electrical and Electronics Engineering with Honours,Electrical & Electronic Engineering,"Approx. RM136,381 total international (current international fee schedule)",136381,MYR,Approximate total programme (without bridging),https://www.ucsiuniversity.edu.my/node/135,2026-09-22
mmu-bcs,mmu,Bachelor of Computer Science (Honours),Computer Science,"RM77,250 total international programme fee",77250,MYR,Total programme,https://www.mmu.edu.my/cyberjaya/undergraduate/information-technology/bachelor-of-computer-science-hons/,2026-09-22
mmu-bcs-artificial-intelligence,mmu,Bachelor of Computer Science (Hons.) Artificial Intelligence,Artificial Intelligence,"RM77,250 total international programme fee",77250,MYR,Total programme,https://www.mmu.edu.my/fee-structure-international/,2026-09-22
mmu-bachelor-information-technology,mmu,Bachelor of Information Technology (Honours),Information Technology,"RM77,250 total international programme fee",77250,MYR,Total programme,https://www.mmu.edu.my/fee-structure-international/,2026-09-22
mmu-bsc-intelligent-robotics,mmu,Bachelor of Science (Hons.) Intelligent Robotics,Engineering,"RM77,250 total international programme fee",77250,MYR,Total programme,https://www.mmu.edu.my/fee-structure-international/,2026-09-22
mmu-beng-electrical,mmu,Bachelor of Engineering (Hons.) Electrical,Electrical & Electronic Engineering,"RM94,500 total international programme fee",94500,MYR,Total programme,https://www.mmu.edu.my/fee-structure-international/,2026-09-22
mmu-beng-electronics,mmu,Bachelor of Engineering (Hons.) Electronics,Electrical & Electronic Engineering,"RM94,500 total international programme fee",94500,MYR,Total programme,https://www.mmu.edu.my/fee-structure-international/,2026-09-22
mmu-bachelor-mechanical-engineering,mmu,Bachelor of Mechanical Engineering with Honours,Mechanical Engineering,"RM94,500 total international programme fee",94500,MYR,Total programme,https://www.mmu.edu.my/fee-structure-international/,2026-09-22
mmu-bachelor-electronics-robotics-automation,mmu,Bachelor of Electronics Engineering (Robotics and Automation) with Honours,Mechatronics Engineering,"RM94,500 total international programme fee",94500,MYR,Total programme,https://www.mmu.edu.my/programmes-by-faculty-all/programmes-by-faculty-fet/bachelor-of-engineering-hons-electronics-majoring-in-robotics-automation/,2026-09-22
sunway-bsc-computer-science,sunway,Bachelor of Science (Honours) in Computer Science,Computer Science,"USD9,779 estimated annual international course fee (2026; payable in RM equivalent)",9779,USD,Estimated annual course fee (2026),https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-science-honours-computer-science,2026-09-22
sunway-bachelor-software-engineering,sunway,Bachelor of Software Engineering (Hons),Software Engineering,"USD10,058 estimated annual international course fee (2026; payable in RM equivalent)",10058,USD,Estimated annual course fee (2026),https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-software-engineering-hons,2026-09-22
sunway-bachelor-civil-engineering,sunway,Bachelor of Civil Engineering with Honours,Civil Engineering,"USD9,616 estimated annual international course fee (2026; payable in RM equivalent)",9616,USD,Estimated annual course fee (2026),https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-civil-engineering-honours,2026-09-22
sunway-bachelor-mechanical-engineering,sunway,Bachelor of Mechanical Engineering with Honours,Mechanical Engineering,"USD9,430 estimated annual international course fee (2026; payable in RM equivalent)",9430,USD,Estimated annual course fee (2026),https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-mechanical-engineering-honours,2026-09-22
sunway-bachelor-electronic-electrical-engineering,sunway,Bachelor of Electronic and Electrical Engineering with Honours,Electrical & Electronic Engineering,"USD9,802 estimated annual international course fee (2026; payable in RM equivalent)",9802,USD,Estimated annual course fee (2026),https://sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-electronic-and-electrical-engineering,2026-09-22
sunway-bachelor-mechatronic-engineering-robotics,sunway,Bachelor of Mechatronic Engineering (Robotics) with Honours,Mechatronics Engineering,"USD9,663 estimated annual international course fee (2026; payable in RM equivalent)",9663,USD,Estimated annual course fee (2026),https://www.sunwayuniversity.edu.my/faculty-of-engineering-and-technology/courses/bachelor-of-mechatronic-engineering-robotics-honours,2026-09-22
